date,cumul,pfizer1,sinovac1,astra1,cases_cluster,,,,
6/1/2021,3144072,30752,30713,14064,1362,,,,
6/2/2021,3251104,36276,46290,14548,1434,,,,
6/3/2021,3370507,38914,57760,14822,1820,,,,
6/4/2021,3462028,27598,43087,15831,1708,,,,
6/5/2021,3535712,34212,22743,15302,1727,,,,
6/6/2021,3618569,38667,28498,14051,1290,,,,
6/7/2021,3684550,11299,31289,18271,1113,,,,
6/8/2021,3839612,51268,36649,20661,1522,,,,
6/9/2021,3996845,61428,39005,15952,1397,,,,
6/10/2021,4158232,52139,40042,21678,1453,,,,
6/11/2021,4284971,31006,40694,24427,2429,,,,
6/12/2021,4422703,40217,42660,20599,1517,,,,
6/13/2021,4554793,43167,40111,21741,1622,,,,
6/14/2021,4758877,54899,68087,25059,1458,,,,
6/15/2021,4982346,59850,82551,24449,1591,,,,
6/16/2021,5197060,70848,111438,23890,1141,,,,
6/17/2021,5426771,59778,99562,25757,1692,,,,
6/18/2021,5612737,40880,86812,25273,2338,,,,
6/19/2021,5785044,51857,64143,19866,2192,,,,
6/20/2021,5931850,37432,66037,19017,1835,,,,
6/21/2021,6177884,47687,117340,25809,1783,,,,
6/22/2021,6438269,48485,127147,23591,1469,,,,
6/23/2021,6703937,38743,123454,22997,1704,,,,
6/24/2021,6981886,32837,127115,23049,1881,,,,
6/25/2021,7205098,28769,104136,21954,2146,,,,
6/26/2021,7404300,34106,90054,18346,2060,,,,
6/27/2021,7582362,22573,72686,16476,2131,,,,
6/28/2021,7792637,41692,103893,20849,1770,,,,
6/29/2021,8037134,31157,106656,20997,2351,,,,
6/30/2021,8308082,27951,124744,21309,1685,,,,
7/1/2021,8578487,27367,134970,21409,2268,,,,
7/2/2021,8819516,28250,119920,22018,2198,,,,
7/3/2021,9043808,25951,100198,18627,1917,,,,
7/4/2021,9259814,27188,88936,18945,1799,,,,
7/5/2021,9588015,34639,150252,21658,1947,,,,
7/6/2021,9944560,38366,156978,21800,2463,,,,
7/7/2021,10340158,39863,157452,21561,2106,,,,
7/8/2021,10730977,40566,167858,21626,2704,,,,
7/9/2021,11081700,43488,155368,21939,2343,,,,
7/10/2021,11418382,51626,149715,18474,3016,,,,
7/11/2021,11716697,50733,125704,18381,2199,,,,
7/12/2021,12151853,74452,176343,21114,1843,,,,
7/13/2021,12592032,70374,179595,18616,2700,,,,
7/14/2021,13051614,82065,192195,21052,2304,,,,
7/15/2021,13530951,101678,192739,23393,2828,,,,
7/16/2021,13949197,95926,165251,22606,2785,,,,
7/17/2021,14346946,97066,148796,18621,3206,,,,
7/18/2021,14703849,98615,134532,19264,2164,,,,
7/19/2021,15147423,129749,137572,21503,2480,,,,
7/20/2021,15459585,71645,118111,18818,2650,,,,
7/21/2021,15919471,124221,144534,20163,2149,,,,
7/22/2021,16439971,170593,152305,20601,2589,,,,
7/23/2021,16919442,148851,146147,19735,2214,,,,
7/24/2021,17353224,148736,129724,17570,2922,,,,
7/25/2021,17770967,138221,136196,18132,3134,,,,
7/26/2021,18309661,191817,132849,18178,2902,,,,
7/27/2021,18882434,214325,133943,18356,2958,,,,
7/28/2021,19465454,206171,157258,12105,2951,,,,
7/29/2021,20047474,213011,136339,13853,2423,,,,
7/30/2021,20583955,169002,149085,15073,3075,,,,
7/31/2021,21128486,170787,151101,14399,3046,,,,
8/1/2021,21624895,156462,141466,12715,3000,,,,
8/2/2021,22114410,157351,75717,4046,2625,,,,
8/3/2021,22619815,179822,70145,4089,2400,,,,
8/4/2021,23136511,179753,58885,4372,2953,,,,
8/5/2021,23675829,165030,66681,4310,3084,,,,
8/6/2021,24147518,125970,65105,14477,2657,,,,
8/7/2021,24600158,110354,72437,22310,2771,,,,
8/8/2021,25012454,79986,68393,24015,2585,,,,
8/9/2021,25501051,98961,66814,37754,2392,,,,
8/10/2021,25880238,77102,65532,34554,2866,,,,
8/11/2021,26400477,101635,99938,43680,2659,,,,
8/12/2021,26953466,85249,95925,37468,2544,,,,
8/13/2021,27451144,55432,105182,25496,2692,,,,
8/14/2021,27922828,40803,115038,25760,2402,,,,
8/15/2021,28363608,35456,104032,18917,2600,,,,
8/16/2021,28890674,39501,131803,20092,3058,,,,
8/17/2021,29440743,36157,143714,19587,2265,,,,
